Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
200754AM08507,1,1,1,1,52,6,3,5,3,0,0,-1,1,1
2009559D02192,1,1,1,1,-1,11,3,0,8,0,0,-1,11,-1
201054MB04210,2,1,1,2,47,5,3,4,3,0,0,-1,11,1
201014A194610,3,1,1,2,13,9,3,0,0,0,0,-1,3,1
201014A194610,3,1,1,2,45,9,3,0,1,0,0,-1,3,-1
200711DJ02190,3,1,3,1,41,3,3,6,0,0,0,-1,0,1
201014A194610,1,2,3,2,45,6,3,0,0,0,4,-1,1,1
201014A194610,1,1,1,1,26,6,3,0,1,0,0,-1,5,1
201022C003187,1,1,1,1,25,7,3,0,0,0,0,-1,9,-1
200932C215709,1,2,1,1,29,7,3,0,0,0,0,-1,5,1
20103104A1923,1,1,1,1,40,6,3,7,0,0,4,-1,0,-1
200920K062202,1,1,2,2,-1,9,3,0,0,1,0,-1,3,1
200554CW15305,1,1,1,1,39,7,3,0,0,0,0,-1,0,1
200604FL06115,1,1,2,2,59,7,3,0,0,0,0,-1,5,1
201063DP22410,1,1,1,1,28,6,3,0,0,0,0,-1,0,1
200754EF23307,1,1,2,1,9,7,3,5,0,0,0,-1,2,1
201050BD2J002,1,1,1,1,29,4,3,5,0,0,0,-1,0,1
200954DE31209,1,1,1,1,23,6,3,5,0,0,0,-1,3,-1
201042I168006,1,1,1,1,75,5,3,4,1,0,0,-1,1,1
200850GA2O018,1,1,1,2,43,7,3,0,0,0,0,-1,0,-1
2009559C02212,1,1,3,1,19,4,3,5,0,0,4,-1,9,-1
200950GA2D011,1,1,1,1,23,9,3,4,0,0,0,-1,9,1
201001TA00213,1,1,1,1,6,6,3,5,0,0,0,-1,0,1
20094100C1038,1,1,1,1,35,4,3,0,0,0,0,-1,5,1
201001TA00213,1,1,2,1,28,6,3,5,0,0,0,-1,1,1
200505CH00426,1,1,1,2,6,8,3,0,0,0,0,-1,9,1
200706J072530,1,1,3,1,-1,7,3,0,0,0,0,-1,9,-1
20084100D0452,2,2,3,1,24,6,3,5,0,0,0,-1,1,1
201001TB00092,1,1,1,2,47,7,3,0,3,0,0,-1,1,1
201001TB00092,1,1,1,2,26,9,3,0,0,0,4,-1,1,1
201050GA2A002,2,1,1,1,58,7,2,5,0,0,0,-1,0,1
201001TB00608,1,1,1,1,36,6,3,0,0,0,0,-1,0,1
201001TB00608,1,2,3,1,38,7,3,0,0,0,0,-1,0,1
200743N001107,3,1,1,1,74,5,3,10,0,0,0,-1,5,-1
200706G067911,1,1,1,1,37,6,3,0,1,0,0,-1,5,-1
201004FA10154,1,1,2,1,54,10,3,0,1,0,0,-1,4,1
201004FA10154,1,1,1,1,29,2,2,4,3,0,0,-1,0,1
200542A057510,1,1,3,1,23,9,3,0,0,1,0,-1,3,-1
200520F165702,1,1,1,1,61,7,3,0,0,0,0,-1,0,1
2010170L41030,1,1,2,2,43,6,3,0,0,0,0,-1,11,1
2009559D01878,1,1,1,2,23,6,3,0,1,0,0,-1,11,1
200605BB10838,1,1,2,2,86,11,3,0,1,0,2,-1,4,1
200643P299126,2,1,1,1,50,7,3,0,0,0,0,-1,5,-1
200943N121029,1,1,3,1,42,6,3,0,0,0,0,-1,9,-1
200650E51I087,1,1,3,1,28,5,3,0,0,0,0,-1,1,1
2010550C15779,1,1,1,1,61,8,3,0,3,1,0,-1,5,1
200601TD00343,1,5,3,2,48,-1,3,6,3,0,0,-1,9,-1
201001TA00073,1,1,1,2,28,7,3,0,0,0,0,-1,9,-1
201001TA00073,1,2,1,1,49,6,3,0,0,1,0,-1,0,1
201042I028802,1,2,3,1,40,6,3,0,2,0,0,-1,1,-1
201043P011060,1,2,1,2,26,8,3,0,0,0,0,-1,0,1
200643R009046,1,1,1,1,33,7,3,5,0,0,0,-1,5,1
200791NE25115,1,1,3,1,36,6,3,0,0,0,0,-1,3,-1
2006556B01085,1,2,1,1,26,6,3,0,1,0,0,-1,0,1
201001TB00232,1,1,2,2,28,6,3,0,0,0,0,-1,3,1
201001TB00232,1,1,1,1,28,7,3,0,0,0,0,-1,5,-1
200937G028091,3,2,1,1,38,7,3,4,0,0,0,-1,11,1
200937G027966,1,1,1,2,26,7,3,0,2,0,0,-1,5,1
200534NN08032,2,1,2,1,28,7,3,0,0,0,0,-1,9,-1
200520H008202,1,1,1,2,37,6,3,0,9,0,4,-1,9,-1
200505ET00555,1,1,1,1,6,8,3,5,0,0,0,-1,11,1
20063104C1376,1,2,3,2,45,8,3,0,0,0,0,-1,0,-1
200934TS80099,1,1,1,1,42,7,3,0,0,0,0,-1,9,1
200601TB00266,2,1,1,2,50,8,3,0,0,0,0,-1,3,1
200842I319309,1,2,2,1,29,6,3,0,1,0,0,-1,0,1
200930B000276,2,1,1,1,31,5,3,10,0,0,0,-1,9,-1
200942I084803,1,1,3,1,40,8,3,0,0,0,0,-1,5,1
200963DP15609,2,1,1,1,14,8,3,5,0,1,4,-1,2,1
200511CI24820,2,1,3,1,40,5,3,0,0,0,0,-1,5,-1
2006600FL6038,1,1,3,1,14,6,3,4,0,0,0,-1,9,1
20084100A0408,1,1,1,2,-1,6,3,5,0,0,0,-1,0,1
200750B51E203,1,1,3,2,33,8,3,0,4,0,0,-1,5,1
2009559D02271,1,1,1,1,30,7,3,0,3,0,0,-1,9,1
200730B000046,1,1,1,1,29,3,3,0,0,0,4,-1,1,1
200763DP37307,4,1,3,1,62,6,3,0,0,0,0,-1,9,1
200506X033043,2,1,2,2,68,4,3,0,0,0,0,-1,0,1
200643P193046,1,1,2,1,61,6,3,0,0,0,0,-1,1,-1
201091NJ14695,1,2,1,1,62,6,3,0,0,0,0,-1,1,-1
200504BC05005,1,1,3,2,22,6,3,0,0,0,0,-1,9,1
200663BC20306,2,1,1,2,43,7,3,0,0,0,0,-1,1,1
200520J069602,2,1,3,1,31,7,3,0,8,0,0,-1,1,-1
201006K035947,1,2,1,2,26,6,3,1,0,0,0,-1,0,-1
201006K035947,1,1,1,1,24,7,3,5,0,0,0,-1,3,1
200604DF06119,2,1,3,1,29,7,3,0,0,0,0,-1,0,1
200745SP12401,1,1,1,2,22,6,3,0,0,0,0,-1,9,1
200704CA07091,1,1,3,1,49,3,3,0,1,0,0,-1,11,1
200997KA70108,1,1,1,2,58,-1,2,1,0,0,0,-1,9,1
200701JI67797,1,1,1,1,19,6,3,0,0,0,0,-1,3,1
200630C000349,1,1,1,1,37,7,3,0,0,0,0,-1,9,-1
200950AH2E017,1,1,1,1,39,7,3,0,3,0,0,-1,0,-1
2008170L32458,1,1,1,1,21,8,3,0,0,0,0,-1,11,-1
200822FA88586,2,1,1,1,39,-1,3,0,1,0,0,-1,0,1
200563AC47105,2,1,1,1,52,4,3,0,0,0,0,-1,9,1
2009400B00974,1,1,1,1,74,7,3,0,0,0,0,-1,9,1
200854DC02408,1,2,2,1,-1,7,3,0,1,0,0,-1,5,1
200901TD00243,1,1,3,2,-1,6,3,0,0,0,0,-1,1,1
200505ET01451,1,1,1,2,68,6,3,0,1,0,0,-1,9,1
200601TC00155,1,1,3,1,9,6,3,4,0,0,0,-1,0,-1
20083104D2556,2,1,3,1,49,6,3,1,0,0,0,-1,5,1
200937B042470,2,1,2,1,26,7,3,0,3,1,0,-1,3,1
2009160C05630,2,1,2,2,24,8,3,10,0,0,0,-1,1,-1
2005445SY0054,3,1,1,2,14,5,3,0,0,0,4,-1,4,1
200520G017202,1,1,1,1,34,5,2,0,0,0,0,-1,3,1
200920F001102,1,2,1,1,19,4,3,0,0,0,0,-1,3,1
200506G035081,1,1,3,2,-1,6,3,6,9,0,0,-1,1,1
20073104C2783,2,1,2,1,48,7,3,0,0,0,0,-1,0,-1
200501TC00293,1,1,1,2,45,7,3,1,9,0,0,-1,0,-1
200605CC10072,4,1,2,1,41,6,3,0,0,0,0,-1,0,1
201004BB10050,1,4,1,1,28,7,2,0,0,0,0,-1,9,1
201004BB10050,1,2,2,1,28,6,2,0,0,0,0,-1,3,1
201006P038594,1,1,1,2,28,-1,3,0,3,0,0,-1,0,1
201006P038594,1,1,2,1,23,7,3,1,0,0,0,-1,0,-1
200850EC2A018,1,2,3,2,33,3,3,0,0,0,0,-1,0,-1
200906Q014478,2,1,2,1,25,6,3,0,0,0,0,-1,0,1
200701VK64213,2,2,3,1,19,-1,3,0,3,1,0,-1,5,1
20073108B3269,1,1,3,1,30,6,3,6,0,1,0,-1,1,1
20084100B0751,2,1,3,1,41,9,3,0,0,0,0,-1,3,-1
200845MO21721,1,1,1,1,68,7,3,5,1,0,0,-1,0,1
200520H018602,1,1,1,1,31,5,3,0,3,0,0,-1,4,1
200914K072309,1,1,1,1,24,-1,3,0,0,0,0,-1,9,1
201030C000898,1,1,1,2,-1,6,3,0,0,0,0,-1,0,-1
200554MA02305,1,1,1,2,31,6,3,0,3,0,0,-1,9,1
200943N129069,1,1,1,1,25,7,3,0,0,0,0,-1,0,1
200805AA23723,2,1,1,2,43,-1,3,0,8,0,0,-1,0,1
200830B000384,2,1,1,1,35,5,3,5,0,0,0,-1,0,1
200701XH62771,2,1,1,1,14,7,3,1,0,0,0,-1,1,1
201043P132020,2,1,1,1,19,9,3,4,0,0,0,-1,0,1
200834TK80188,3,1,1,1,68,7,3,0,0,1,0,-1,3,1
200543N084125,1,1,1,2,58,6,3,0,0,2,0,-1,9,-1
200697LB70801,2,1,1,1,45,3,3,0,0,0,0,-1,3,1
200945SU34884,1,1,1,1,37,4,3,0,0,0,2,-1,11,1
200730C000576,1,1,1,2,38,5,3,0,0,0,0,-1,5,1
200937G028335,1,1,2,2,-1,8,3,6,0,0,0,-1,9,1
2009400B00536,2,1,1,1,28,8,3,4,0,0,0,-1,3,1
201045MO51595,1,1,2,2,29,6,3,0,3,0,0,-1,0,1
201050KU2P004,8,1,1,1,49,6,3,10,0,0,0,-1,5,1
200906X017356,1,1,1,2,21,6,3,0,0,0,0,-1,11,-1
200650E51J572,1,1,1,2,-1,6,3,5,0,0,0,-1,0,1
200550D21G857,2,1,1,2,52,6,3,0,0,0,0,-1,9,1
201006A031483,1,1,3,1,24,3,3,0,0,0,0,-1,11,1
201006A031483,1,1,1,2,-1,7,3,0,0,0,0,-1,3,-1
2009170L50689,1,1,2,1,25,7,3,0,0,0,0,-1,0,-1
20064100G0733,1,1,1,2,25,7,3,0,0,0,0,-1,1,-1
200820M060103,1,2,1,2,29,-1,3,0,0,0,0,-1,9,1
200522DD45086,1,2,3,1,40,-1,3,1,0,0,0,-1,0,1
200622CA55416,1,1,1,1,54,6,3,0,4,0,4,-1,0,1
200506L026333,1,1,1,2,20,6,3,0,0,0,0,-1,0,1
201006K029161,1,1,2,1,-1,8,3,0,0,0,0,-1,0,-1
20103104C0033,1,2,1,1,30,6,3,0,0,0,0,-1,1,1
201006K029161,1,2,1,1,36,7,3,0,0,1,0,-1,9,1
200930D000929,1,1,1,1,38,10,3,0,4,0,0,-1,9,1
200945MO41269,1,1,1,1,29,7,2,4,0,0,0,-1,0,1
2007160D00150,2,1,1,1,36,6,3,5,0,0,0,-1,9,1
200720L050201,1,1,3,1,29,6,3,0,0,0,0,-1,0,1
200801KG74595,1,1,1,2,26,6,3,0,1,0,0,-1,1,1
2006600FL6007,3,2,3,2,13,6,3,4,0,0,0,-1,9,1
200620J071702,2,2,1,1,-1,7,3,4,0,0,0,-1,5,1
200642I424610,2,2,3,1,35,10,3,0,0,0,0,-1,0,-1
200704EN07052,1,4,1,2,38,10,3,5,0,0,0,-1,0,1
200663AC31506,1,1,2,2,52,3,3,0,8,0,0,-1,0,1
200754DN53107,2,1,1,2,28,6,3,4,4,2,0,-1,9,1
201006Q039027,2,1,1,1,75,7,3,0,0,0,4,-1,3,-1
201006Q039027,2,1,1,2,74,7,3,0,0,0,0,-1,11,1
2008400D01409,1,1,1,1,23,5,3,0,0,0,0,-1,0,-1
200705BB17907,1,1,1,1,54,8,3,0,1,0,4,-1,0,1
201032B056610,1,1,1,1,19,6,3,5,1,0,0,-1,11,-1
2005600FL8057,1,1,1,1,26,6,3,1,0,0,0,-1,9,1
200943R213129,1,1,1,1,29,7,3,0,0,0,0,-1,5,1
200543W267115,3,1,1,2,29,5,3,5,0,0,0,-1,0,1
201043P050070,1,1,1,1,65,6,3,4,0,0,4,-1,5,1
200504EB05034,1,1,3,1,59,5,3,0,0,0,0,-1,9,1
200945TA34913,3,1,1,2,42,6,3,0,0,0,0,-1,1,1
20054100B0495,2,1,1,2,86,5,3,5,0,0,4,-1,9,-1
200601TE00115,1,1,3,1,26,6,3,7,0,0,0,-1,11,1
200601TB00215,3,1,3,1,26,4,3,5,0,0,0,-1,5,1
200950AH2E017,2,2,1,1,37,5,3,0,0,0,0,-1,0,1
200932D059109,1,1,3,2,29,5,3,1,4,0,0,-1,2,1
200834TK80168,1,2,2,1,30,7,3,0,0,0,0,-1,5,-1
200522GB40057,1,2,3,1,39,7,3,0,0,0,0,-1,5,-1
200950AH2E017,3,1,1,2,25,8,3,0,0,0,0,-1,0,1
201022F000517,3,1,3,2,35,7,3,0,0,0,0,-1,3,1
200904BB09131,2,2,2,2,6,8,3,0,3,0,4,-1,1,1
200942I188406,1,1,1,2,45,7,3,0,8,0,0,-1,1,-1
200963BC12209,1,1,3,1,38,7,3,4,0,0,0,-1,11,1
200906L008774,1,1,2,1,30,9,3,0,1,0,0,-1,9,1
200763CP27907,2,1,2,1,28,6,3,4,0,0,0,-1,9,1
200654CR35006,1,2,1,2,58,7,3,0,0,0,0,-1,9,1
2005600GN8043,1,1,2,1,26,7,3,0,0,0,0,-1,11,1
200550A61H626,1,1,1,2,29,6,3,10,1,0,0,-1,3,1
201050GT3W010,1,1,1,1,24,7,3,0,0,0,0,-1,9,1
200832C233008,3,1,1,1,14,10,3,0,0,0,4,-1,3,1
200843W027068,2,1,1,1,19,7,3,0,0,0,0,-1,2,1
200754EV14307,3,1,1,1,22,6,3,0,0,0,0,-1,0,1
20083104D3330,2,1,1,1,23,6,2,0,0,0,0,-1,5,1
200950JA2C008,2,1,1,2,34,4,3,0,0,1,0,-1,1,1
200911NE16289,7,1,3,1,28,7,3,6,3,0,0,-1,8,1
200743N100077,3,2,1,2,35,7,3,0,3,0,0,-1,9,1
201050KU2P004,1,1,2,1,29,5,3,0,0,0,0,-1,1,1
